,date,token_0,token_1,total_gas,swap_price
0,2022-05-27,1767.3271,1.0257589,4961604.864936754,8.768778737294566
1,2022-05-28,1769.6007,0.9858388,8493774.213849334,15.03058879446973
2,2022-05-29,1790.8622,0.9878647,8236612.646519052,14.750638244692933
3,2022-05-30,1852.2931,0.92935765,3173704.846832377,5.8786315892241685
4,2022-05-31,1941.7574,0.9956308,3747930.177930737,7.277571157680325
5,2022-06-01,1952.1045,1.0683466,8037164.63774145,15.689385256575955
6,2022-06-02,1794.1923,0.97949326,5985370.430778532,10.738905539550526
7,2022-06-03,1821.4354,1.0260017,11455933.56407684,20.866242933657727
8,2022-06-04,1796.8967,0.996102,58313095.08718908,104.78260812895627
9,2022-06-05,1803.2993,0.99803805,5816241.959218249,10.488425053688896
10,2022-06-06,1772.2766,0.95394444,4441263.201292072,7.871146846091029
11,2022-06-07,1825.7062,1.0049353,9054056.585361382,16.530047243045104
12,2022-06-08,1855.2657,1.034828,11743321.25906485,21.786981136023826
13,2022-06-09,1796.4103,1.0039847,8753360.078455292,15.724626204545894
14,2022-06-10,1721.5367,1.0349759,17288594.327777807,29.762949626681323
15,2022-06-11,1568.2997,1.0256668,5734616.121009171,8.993596742193848
16,2022-06-12,1532.5399,1.0576488,7217582.051674957,11.061232475715734
17,2022-06-13,1430.3357,1.1942824,5840338.928640398,8.353645269734114
18,2022-06-14,1230.8961,1.0142306,8272013.953494714,10.181989714502224
19,2022-06-15,1217.138,0.98917234,4010210.3114617667,4.880979358071952
20,2022-06-16,1178.6075,1.0946925,10649182.634736598,12.551206522170315
21,2022-06-17,1083.283,0.99737275,7868157.249865226,8.523440990105751
22,2022-06-18,1071.1492,1.0764731,5510882.101320467,5.902976954123737
23,2022-06-19,1045.7607,0.9289426,2578953.0961755444,2.696967795123705
24,2022-06-20,1124.311,0.99176335,3869971.9186334694,4.351051997810715
25,2022-06-21,1120.6864,0.9979937,3119580.1239020354,3.496071018567326
26,2022-06-22,1090.4065,1.030078,6961752.276590295,7.5911399337838565
27,2022-06-23,1084.2496,0.9474209,6978386.161366781,7.566312404107468
28,2022-06-24,1221.0493,0.9847497,8116172.456039208,9.910246696125956
29,2022-06-25,1250.3524,0.9998539,4612824.108484393,5.767655694821322
30,2022-06-26,1229.0845,0.99889797,4208130.355383876,5.1721477937818126
